idx,class,is_fg,gt_count,pred_count,tp,fp,fn,iou,recall,precision,cost
169,divider,1,29765,1165,0,1165,29765,0.0000,0.0000,0.0000,29765
170,laundry detergent,1,3266,1028,328,700,2938,0.0827,0.1004,0.3191,2938
171,bathroom counter,1,12396,71266,5609,65657,6787,0.0719,0.4525,0.0787,6787
172,object,1,125030,1,0,1,125030,0.0000,0.0000,0.0000,125030
173,bathroom vanity,1,81405,20962,11097,9865,70308,0.1216,0.1363,0.5294,70308
174,closet wall,1,23789,243196,3343,239853,20446,0.0127,0.1405,0.0137,20446
175,laundry hamper,1,19888,50905,1548,49357,18340,0.0224,0.0778,0.0304,18340
176,bathroom stall door,1,32283,115610,15746,99864,16537,0.1192,0.4877,0.1362,16537
177,ceiling light,1,14182,45339,12364,32975,1818,0.2622,0.8718,0.2727,1818
178,trash bin,1,26809,169782,10789,158993,16020,0.0581,0.4024,0.0635,16020
179,dumbbell,1,507,0,0,0,507,0.0000,0.0000,0.0000,507
180,stair rail,1,82499,58795,23108,35687,59391,0.1955,0.2801,0.3930,59391
181,tube,1,4879,1959,0,1959,4879,0.0000,0.0000,0.0000,4879
182,bathroom cabinet,1,28603,77092,18769,58323,9834,0.2159,0.6562,0.2435,9834
183,cd case,1,0,885,0,885,0,0.0000,0.0000,0.0000,0
184,closet rod,1,1144,8092,350,7742,794,0.0394,0.3059,0.0433,794
185,coffee kettle,1,817,13322,326,12996,491,0.0236,0.3990,0.0245,491
186,structure,1,0,16719,0,16719,0,0.0000,0.0000,0.0000,0
187,shower head,1,1551,306,200,106,1351,0.1207,0.1289,0.6536,1351
188,keyboard piano,1,7180,21733,475,21258,6705,0.0167,0.0662,0.0219,6705
189,case of water bottles,1,15169,63625,2122,61503,13047,0.0277,0.1399,0.0334,13047
190,coat rack,1,668,28650,252,28398,416,0.0087,0.3772,0.0088,416
191,storage organizer,1,0,170907,0,170907,0,0.0000,0.0000,0.0000,0
192,folded chair,1,4700,168283,3751,164532,949,0.0222,0.7981,0.0223,949
193,fire alarm,1,61,1471,0,1471,61,0.0000,0.0000,0.0000,61
194,power strip,1,39,146,0,146,39,0.0000,0.0000,0.0000,39
195,calendar,1,895,23,0,23,895,0.0000,0.0000,0.0000,895
196,poster,1,22905,59968,1760,58208,21145,0.0217,0.0768,0.0293,21145
197,potted plant,1,1792,2891,0,2891,1792,0.0000,0.0000,0.0000,1792
198,luggage,1,0,47395,0,47395,0,0.0000,0.0000,0.0000,0
199,mattress,1,67227,21950,0,21950,67227,0.0000,0.0000,0.0000,67227
